Year,Country,gold,ath_num
1992,Algeria,1,2
1992,Argentina,0,2
1992,Australia,14,53
1992,Austria,0,6
1992,Bahamas,0,1
1992,Belgium,0,3
1992,Brazil,13,14
1992,Bulgaria,3,16
1992,Canada,27,37
1992,China,18,69
1992,Colombia,0,1
1992,Croatia,0,14
1992,Cuba,44,70
1992,Czechoslovakia,4,8
1992,Denmark,3,14
1992,Estonia,1,3
1992,Ethiopia,1,3
1992,Finland,1,7
1992,France,9,56
1992,Germany,81,175
1992,Ghana,0,13
1992,Greece,2,2
1992,Hungary,14,35
1992,Independent Olympic Participants (1992),0,3
1992,Indonesia,2,6
1992,Iran,0,3
1992,Ireland,1,2
1992,Israel,0,2
1992,Italy,22,45
1992,Jamaica,0,3
1992,Japan,3,44
1992,Kenya,2,8
1992,"Korea, North",4,9
1992,"Korea, South",28,45
1992,Latvia,0,3
1992,Lithuania,1,13
1992,Malaysia,0,2
1992,Mexico,0,1
1992,Mongolia,0,2
1992,Morocco,1,3
1992,Namibia,0,1
1992,Netherlands,5,32
1992,New Zealand,1,14
1992,Nigeria,0,11
1992,Norway,2,22
1992,Pakistan,0,16
1992,Peru,0,1
1992,Philippines,0,1
1992,Poland,5,41
1992,Puerto Rico*,0,1
1992,Qatar,0,1
1992,Romania,8,42
1992,Slovenia,0,6
1992,South Africa,0,3
1992,Spain,44,65
1992,Suriname,0,1
1992,Sweden,1,32
1992,Switzerland,1,1
1992,Taiwan,0,20
1992,Thailand,0,1
1992,Turkey,2,6
1992,Unified team,92,189
1992,United Kingdom,8,47
1992,United States,89,185
1996,Algeria,2,3
1996,Argentina,0,20
1996,Armenia,1,2
1996,Australia,32,123
1996,Austria,0,2
1996,Azerbaijan,0,1
1996,Bahamas,0,5
1996,Belarus,1,20
1996,Belgium,2,6
1996,Brazil,5,63
1996,Bulgaria,3,21
1996,Burundi,1,1
1996,Canada,8,46
1996,China,19,98
1996,Costa Rica,1,1
1996,Croatia,16,29
1996,Cuba,39,57
1996,Czech Republic,4,11
1996,Denmark,22,24
1996,Ecuador,1,1
1996,Ethiopia,2,3
1996,Finland,1,4
1996,France,21,45
1996,Georgia,0,2
1996,Germany,42,108
1996,Greece,4,8
1996,Hong Kong*,1,1
1996,Hungary,8,40
1996,India,0,1
1996,Indonesia,2,6
1996,Iran,1,3
1996,Ireland,3,1
1996,Israel,0,1
1996,Italy,19,65
1996,Jamaica,1,14
1996,Japan,3,43
1996,Kazakhstan,3,10
1996,Kenya,1,8
1996,"Korea, North",2,5
1996,"Korea, South",10,63
1996,Latvia,0,1
1996,Lithuania,0,12
1996,Malaysia,0,3
1996,Mexico,0,1
1996,Moldova,0,3
1996,Mongolia,0,1
1996,Morocco,0,2
1996,Mozambique,0,1
1996,Namibia,0,1
1996,Netherlands,38,69
1996,New Zealand,3,7
1996,Nigeria,19,25
1996,Norway,2,24
1996,Philippines,0,1
1996,Poland,7,20
1996,Portugal,1,3
1996,Puerto Rico*,0,1
1996,Romania,13,30
1996,Russia,36,97
1996,Slovakia,1,3
1996,Slovenia,0,2
1996,South Africa,3,4
1996,Spain,24,66
1996,Sweden,3,30
1996,Switzerland,5,11
1996,Syria,1,1
1996,Taiwan,0,1
1996,Thailand,1,2
1996,Tonga,0,1
1996,Trinidad and Tobago,0,1
1996,Tunisia,0,1
1996,Turkey,4,6
1996,Uganda,0,1
1996,Ukraine,10,31
1996,United Kingdom,2,25
1996,United States,160,228
1996,Uzbekistan,0,2
1996,Yugoslavia,1,25
